EP01 IN
EP01：だがあえて見せ場を捨て　|　可他偏偏舍弃了名场面
EP01：自分の得意な人物描写を押し出すことで　|　转而放大自己擅长的人物刻画
EP01：観客を話に引き込んだ　|　以此把观众拽进故事里
EP01：この舞台で　よくぞ　|　在这样的舞台上 他真敢啊
EP01：しかし　この女房の造形は…　|　只不过 这个妻子的塑造…
EP01：おっ母だ　|　是妈妈
EP01：おっ父　おっ母をやってる　|　爸爸在演妈妈
EP01：朱音　真幸　|　朱音 真幸
EP01：見てるか　|　你们看见了吗
EP01：うちの師匠に弟子入りして　|　拜入师父门下
EP01：落語に打ち込み続けて13年　|　一门心思扑在落语上十三年
EP01：恐ろしいほど芽が出なくて　|　苦苦熬不到出头之日
EP01：ろくな稼ぎもねえ　|　没法赚钱养家
EP01：それでも真幸は俺に落語をやめろと言わなかった　|　可即便如此真幸也没让我放弃落语
EP01：朱音は　|　朱音更是
EP01：「そんけいする人　五年三組　桜咲あかね」　|　「我尊敬的人 五年三班樱咲朱音」
EP01：「わたしがこの世で一番そんけいする人はおっ父です」　|　「在这世上我最尊敬的人就是我的父亲」
EP01：「おっ父は落語家で　話がとっても面白くて」　|　「父亲是位落语家 讲的故事特别有意思」
EP01：「毎日わたしを笑わせてくれます」　|　「每天都逗得我开怀大笑」
EP01：「おっ父の夢は真打になることです」　|　「父亲的梦想是成为真打」
EP01：「わたしの夢もおっ父が真打になることです」　|　「我的梦想也是父亲能够成为真打」
EP01：「わたしはおっ父が大好きです」　|　「我最喜欢我的父亲了」
EP01：こんな俺を　朱音は好きでいてくれた　|　朱音喜欢着这样的我
EP01：その思いに応えたい　|　我想回应她的心情
EP01：父として落語家として　|　作为父亲 作为落语家
EP01：俺が今まで培ってきた技も人生も　|　我要把这些年磨练的技艺 我的人生
EP01：何もかもつぎ込んで　|　一切都倾注于此
EP01：俺は今日真打になる　|　今天我要成为真打
EP01：「よそう　また夢になるといけねえ」　|　「别喝了 可别再梦一场了」
EP01：すげえ　|　好厉害
EP01：おっ父かっこいい　|　爸爸好帅
EP01：大変長らくお待たせいたしました　|　让各位久等了
EP01：集計結果が出そろったようです　|　统计结果出来了
EP01：大丈夫だよね　|　没问题的
EP01：大丈夫　大丈夫じゃん　|　没问题 一定没问题的
EP01：うるさい　|　好吵
EP01：結果発表は阿良川…　|　结果由阿良川…
EP01：一生師匠　お願いします　|　一生师父 拜托您了
EP01：入ってるな　|　接上了
EP01：皆様　この度は阿良川流真打昇進試験に　|　首先感谢各位参与见证这次
EP01：お立ち会いいただき誠にありがとうございました　|　阿良川流真打晋升考试
EP01：私もね　久しぶりに若手のネタを見たんですけどね　|　我也是好久没看过年轻人的段子了
EP01：いやあ　驚きました　|　哎呀 真吃惊啊
EP01：まあ　だらだらしゃべっても仕方ないんでね　|　但话也不能说得太长了
EP01：結果を申し上げますと　|　直接宣布结果的话
EP01：今日の出場者　|　今日的出场者
EP01：全員破門です　|　全部逐出师门
EP01：いやあ　師匠　冗談が…　|　不是 师父 玩笑也…
EP01：一門の面汚しどもが　|　让大家看到本门如此丢脸
EP01：みっともねえ芸をお見せしちまって　|　如此不像话的演出
EP01：すいやせんでした　|　实在万分抱歉
EP01：じゃあ　まあそういうことで　|　那么 就是这样
EP01：以上　|　再见
EP01：ちょっ　師匠　|　等下 师父
EP01：ねえ　どうしたの　|　喂 怎么了
EP01：はもんって何　|　什么是逐出师门
EP01：ねえ　おっ母　|　喂 妈妈
EP01：おっ母ってば　|　妈妈
EP01：ねえ　おっ母　|　喂 妈妈
EP01：徹　|　彻
EP01：ちょっと　どういうことですか　|　等下 到底是怎么回事
EP01：破門って　|　什么逐出师门
EP01：大体志ん太は俺の弟子だ　|　而且志太可是我的弟子
EP01：後にこの日の受験者全員が正式に破門となる　|　这之后这天的所有考生都被正式逐出师门
EP01：人の弟子を勝手に…　|　擅自把别人的弟子…
EP01：出来の悪い弟子を持ったな　|　你真是有个不成器的弟子啊
EP01：破門の理由については明かされていない　|　逐出师门的理由未被公开
EP01：あんなもん『芝浜』とは言わねえよ　|　那种东西怎配称为《芝滨》
EP01：これ本当なんですか　|　这是真的吗
EP01：志ん太　|　志太
EP01：兄さん　どういうことですか　|　师兄 到底是怎么回事
EP01：ギャグですよね　ねえ　|　是在说笑吧 对吧
EP01：ギャグですよね　兄さん　|　是在说笑吧 师兄
EP01：あの日　落語家阿良川志ん太は死んだ　|　那一天 落语家阿良川志太死了
EP01：あの日　|　那一天
EP01：落語家阿良川志ん太は死んだ　|　落语家阿良川志太死了
EP01：でも　|　但是
EP01：終わりじゃない　|　这并非结束
EP01：むしろ　|　不如说
EP01：あの時から始まったんだ　|　一切是从那时才开始
EP01：私の物語が　|　我的故事
EP01：あかね小噺　|　朱音小落语
EP01：おっ父　はい質問　|　爸爸 我有问题
EP01：なんだ　|　什么呀
EP01：落語はなんで落語って言うの　|　落语为什么叫做落语呢
EP01：それは落語には下げ　つまり落ちがあるだろう　|　这是因为落语有包袱 包袱最后要落下来嘛
EP01：昔は「落とし話」って言ったんだ　|　以前还叫做「落下来的故事」
EP01：それが縮まって落語になったって言われてる　|　缩写之后就被称为落语了
EP01：じゃあはいもう一個　|　那还有一个
EP01：ずーっと座ってて足痺れたってなんないの　|　一直坐着不会腿麻吗
EP01：ずっと座ってるだけなら痺れるけど　|　一直坐着确实会麻
EP01：落語って話しながら結構動くもんなんだ　|　但是讲落语还有挺多动作的
EP01：だから痺れて立てないなんてことはないな　|　所以不至于腿麻到站不起来
EP01：そうなんだ　|　原来是这样
EP01：はい　|　还有
EP01：はい　あかねさん　|　请讲 朱音
EP01：なんで途中で羽織を脱ぐの　|　为什么讲到中途要脱羽织呢
EP01：すぐ脱ぐんだったら　最初から着なきゃいいのに　|　既然要脱的话 最开始为什么要穿呢
EP01：お客さんの前に出るときは　|　出来见客人的时候
EP01：きちんとした格好の方がいいからな　|　还是衣冠整齐比较好
EP01：で　これから話の本題ですよってとこで脱ぐ　|　接着 要进入正题的时候脱掉
EP01：って言っても　ここで脱ぎなさいっていう決まりは別にないんだ　|　虽说如此 但也没有规定这种时候一定要脱
EP01：あかねもあれやってみたいな　|　朱音也想试试看啊
EP01：最初にいっぱい着ておいて　|　最开始穿一大堆
EP01：途中でじゃんじゃん脱いでいくの　|　中途一件件全脱掉
EP01：あと片付けが大変そうだ　|　那样事后收拾会很麻烦吧
EP01：#『那一天』
EP01：#落语茶店 此楼5F
EP01：#真打晋升考试
EP01：#我尊敬的人
EP01：#幸会馆 今天的节目
EP01：#休息室2
EP01：#阿良川流 真打晋升考试
EP01：#注：寄席，表演落语等技艺的曲艺场
EP01：#幸会馆前 自行车专用
EP01：#次回 初次登台
EP01 OUT

EP02 IN
EP02：一体何をやってんだ　|　我到底在做什么
EP02：これから爆売れする落語家阿良川ぐりこともあろう者が　|　接下来正要大火的落语家阿良川格力高
EP02：てめえの師匠をつけるなんて　|　居然在跟踪自己的师父
EP02：すみません　師匠　|　抱歉 师父
EP02：それもこれも昨日の現場で　|　这都是因为昨天在现场
EP02：「はなからしまいまで釣りの手ほどきしてくれる」　|　「你说要把钓鱼的法子从头到尾教给我」
EP02：「んなこたどうでもいいよほんのコツだけ教えてくれや」　|　「那些都无所谓 只要你把真正的诀窍教给我就行」
EP02：ぐりこ　ちょっといい　|　格力高 你有时间吗
EP02：利一　どうした　|　利一 怎么了
EP02：ぐりこって志ぐま師匠の弟子だよね　|　格力高你是志熊师父的弟子吧
EP02：おうよ　|　是啊
EP02：阿良川志ぐま最後の弟子たあ俺のことよ　|　阿良川志熊的关门弟子 说的正是我
EP02：言いにくいんだけどさ　|　虽然有点难以启齿
EP02：志ぐま師匠が若いギャルと付き合ってるってガチ　|　志熊师父在跟年轻女孩交往的事是真的吗
EP02：んだそれ　|　你说什么
EP02：並んで歩いてるのを見たって人が　何人もいてさ　|　有好几个人看到他们并肩走在街上
EP02：ガチ　|　真的
EP02：なわけねえだろ　|　怎么可能呢
EP02：入った　|　进去了
EP02：カラオケ　|　卡拉OK
EP02：あそこか　|　是这里吗
EP02：いや　これ…　|　不是 这…
EP02：ガチじゃん　|　还真是真的
EP02：何してんのこの２人　|　这两个人在做啥呢
EP02：落語？そういう戯れ　|　落语？还有这种玩法
EP02：でも師匠の顔は真剣そのもの　|　但是师父的脸好认真
EP02：あの　お客様　|　请问 这位客人
EP02：どうかなさいましたか　|　您有什么事吗
EP02：あの　いや　|　那个 不是
EP02：違くて　その　|　我不是 那个
EP02：お客様　|　客人
EP02：馬鹿野郎　|　蠢货
EP02：つまらんうわさに乗せられて俺をつけてただと　|　你居然因为无聊的传言跟踪我
EP02：トンチキなことしやがって　恥を知れ　|　干出这么蠢的事 给我好好反省
EP02：そもそもコソコソするから　|　说到底还是因为偷偷摸摸的
EP02：駄目なんじゃん　|　这样才不好吧
EP02：てめえ誰にナマこいてんだ　この野郎　|　你以为你在跟谁说话啊 你这混蛋
EP02：師匠　なんなんですかこのガキは　|　师父 这个小鬼到底是谁啊
EP02：こいつは桜咲朱音　|　这家伙是樱咲朱音
EP02：志ん太の娘だ　|　志太的女儿
EP02：よろしく　|　请多关照
EP02：こいつが６年前に破門になった志ん太兄さんの　|　这家伙就是六年前被逐出师门的志太师兄的
EP02：そんなことより　|　比起这些
EP02：どうでした私の落語は　|　我的落语怎么样
EP02：あの日から稽古をつけていただくようになって６年　|　那天起 六年来我一直练习至今
EP02：まだ人前で落語をやる許可はもらえていませんが　|　虽然还没有获得在人前表演落语的许可
EP02：私も今年で17　高校３年生になりました　|　但我今年已经十七岁 是高三生了
EP02：思いは変わらずか　|　你的想法还是没有改变吗
EP02：はい　|　是的
EP02：阿良川一門の真打になる　|　我要成为阿良川一门的真打
EP02：真打になっておっ父の芸はすごかったってことを　|　成为真打 将父亲技艺的伟大之处
EP02：みんなにあの男に私が証明する　|　证明给大家还有那个男人看
EP02：弟子入りを認めてください　|　请您收我为弟子吧
EP02：時がたつのは早えなあ　|　时间过得真快啊
EP02：弟子にしろって　朱音おまえまだ小学生だろ　|　你说让我收你入门 可朱音你还是个小学生吧
EP02：なぜ落語家になりたい　|　为什么想成为落语家
EP02：一体何があったんだ　|　到底发生了什么
EP02：おっ父はコンクリートを売る会社に入った　|　爸爸他加入了卖混凝土的公司
EP02：いつまでも落ち込んだままじゃいられないって　|　他说自己不能一直这么消沉下去
EP02：働き出して　|　就开始出门工作
EP02：毎日忙しそうで　|　每天都很忙
EP02：でもそのおかげで　落語してた時よりお金がもらえて　|　但也因此赚得比做落语时更多
